영업 내용,영업일,신규or기존,지역그룹,거래처,거래처 담당자,담당자,상태,영업 제품,업무 내용,Action_Type,검토상태
홍성의료원 미팅 진행,2026/08/06,기존 병원,서산당진,홍성의료원 (https://app.notion.com/p/724dd38877f9463d8544f5f556ec3bca?pvs=21),심뇌혈관 간호사,이은필,영업시도,ANGIO 시술용 키트 PR03 (Adv.) (https://app.notion.com/p/ANGIO-PR03-Adv-3b2fd9fcb8cd816d9e80c13351bf5a01?pvs=21),"홍성의료원 심뇌혈관 간호사와 미팅을 진행했으나 비급여 제품에 일부 거부반응이 있었습니다. 당일 과장님은 응급 일정으로 미팅하지 못해 추후 미팅을 추진하기로 했습니다.
다음: 추후 과장님 미팅 진행",관계관리,완료
서산중앙 엔지오키트 샘플 전달,2026/08/06,기존 병원,서산당진,서산중앙병원 (https://app.notion.com/p/96fda86d9e5447878e3c62e2131a2304?pvs=21),심뇌혈관팀장,이은필,영업중,,"서산중앙병원 심뇌혈관팀장에게 가장 원하는 타입인 엔지오키트 시술용04제품 샘플을 전달했습니다. 추후 사용에 대한 피드백을 받기로 하였습니다.
다음: 엔지오키트 시술용04제품 샘플 사용 피드백 확인",샘플·데모,완료
유성선병원 키트 피드백,2026/08/04,기존 병원,대전논산,(의)영훈의료재단유성선병원 (https://app.notion.com/p/ae1c9008543340fa9a107374d735d452?pvs=21),,최진웅,영업시도,ANGIO 시술용 키트 PR03 (Adv.) (https://app.notion.com/p/ANGIO-PR03-Adv-3b2fd9fcb8cd816d9e80c13351bf5a01?pvs=21),"유성선병원 실무진에게 ANGIO 시술용 키트에 대해 긍정적인 반응을 얻었으나 트레이가 작다는 피드백을 받았습니다. 이번 주 내로 추가 피드백을 확인할 예정입니다.
다음: 이번 주 내 실무진 추가 피드백 확인",관계관리,완료
"청주 다나여성병원 ",2026/08/20,기존 병원,세종충북,다나여성병원 (https://app.notion.com/p/3b5fd9fcb8cd8151a796f3cdc8a9a1c3?pvs=21),사무장,이재덕,영업시도,,청주 다나여성병원 사무장이 스타킹 원장에게 이야기 했다고 함. 기존 간납처에서 스타킹에 문제 있으면 바꾸겠다고 함. 사무장이 신서규나 이오영 원장에게 직접 가서 설명하는게 좋겠다고 해서 다음부터는 원장들 직접 만나볼 예정.,제품설명·소개,완료
청주 한국병원 보비패드 미팅진행,2026/08/21,기존 병원,세종충북,청주 한국병원 (https://app.notion.com/p/ef784b1524834c199045e535d8e75bdd?pvs=21),구미희,이재덕,영업시도,,"청주 한국병원 구미희 선생을 면담하여 보비패드 도입 진행사항을 체크했으나 아직은 힘들다는 답변을 받았습니다. 향후 지속적으로 노력할 예정입니다.
다음: 지속적인 방문 및 도입 추진",관계관리,신규확인필요
청주 한국병원 마인드레이 카다록 제품설명,2026/08/21,기존 병원,세종충북,청주 한국병원 (https://app.notion.com/p/ef784b1524834c199045e535d8e75bdd?pvs=21),박정현 과장,이재덕,영업시도,,청주 한국병원 산부인과의 박정현 과장에게 인사드리고 마인드레이 카탈로그를 전달했습니다.,제품설명·소개,신규확인필요
음성 제일좋은병원 PENKO SURGI PAD 제품설명,2026/08/21,기존 병원,세종충북,음성 제일좋은병원 (https://app.notion.com/p/3b5fd9fcb8cd81878907f5e8be760179?pvs=21),,이재덕,영업시도,PENKO SURGI PAD (https://app.notion.com/p/PENKO-SURGI-PAD-3b2fd9fcb8cd81bd88afd489c62ac823?pvs=21),"음성 제일좋은병원 구매과를 방문하여 써지패드 등 제품 상세 설명을 진행했습니다. 다소 배타적인 분위기이나 특별한 제품군으로 재공략해 볼 가치가 있습니다.
다음: 차별화된 제품 라인업 준비 및 재방문",제품설명·소개,완료
국립소방병원 HYGENT (하이젠트) 제품설명,2026/08/21,기존 병원,,국립소방병원 (https://app.notion.com/p/3b5fd9fcb8cd81deb06ac995d7d642b9?pvs=21),문덕주,이재덕,영업시도,,"음성 국립소방병원의 문덕주 원장과 면담을 진행했으나 하이젠트는 아직 사용 전인 상태입니다. 다음 주 김기호 원장을 면담하며 다시 제품 디테일을 진행할 예정입니다.
다음: 다음 주 김기호 원장 면담 및 하이젠트 제품 디테일 진행",제품설명·소개,완료
모태안여성병원 데모장비 샘플/데모,2026/08/21,기존 병원,세종충북,모태안여성병원 (https://app.notion.com/p/3b2fd9fcb8cd8155911ec5bd84013f09?pvs=21),,이재덕,영업시도,,모태안여성병원에서 사용 중이던 데모장비를 회수하였습니다.,샘플·데모,신규확인필요
건국대학교 충주병원 제품설명,2026/08/20,기존 병원,세종충북,건국대학교 충주병원 (https://app.notion.com/p/3c4ee56de1d148f59f4b8f2c63de6f08?pvs=21),박금수,이재덕,영업시도,,"건국대학교 충주병원 박금수 교수에게 브로셔를 전달하고 제품을 소개했으나 별다른 반응은 없었습니다. 추후 일정을 맞춰 이승환 교수를 면담할 예정입니다.
다음: 이승환 교수 면담",제품설명·소개,완료
충주별산부인과 PENKO SURGI PAD 제품설명,2026/08/20,기존 병원,세종충북,충주별산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81c8898ad6579fc4d258?pvs=21),사무장,이재덕,영업시도,PENKO SURGI PAD (https://app.notion.com/p/PENKO-SURGI-PAD-3b2fd9fcb8cd81bd88afd489c62ac823?pvs=21),충주 별산부인과 사무장에게 써지패드 제품에 대해 상세히 설명하였으나 특별한 반응을 보이지 않았습니다.,제품설명·소개,완료
단양 영춘의원 미팅진행,2026/08/20,신규 병원,세종충북,단양 영춘의원 (https://app.notion.com/p/3c6fd9fcb8cd802f9ee8cc905a635cf5?pvs=21),이사장,이재덕,영업시도,,"단양 영춘의원 이사장과 면담을 통해 약 1.2억 원 규모의 노후 장비 교체 지원사업 신청 사실을 확인했습니다. 계약 방식은 아직 미정입니다.
다음: 지원사업의 계약 방식(나라장터 또는 수의계약) 확정 여부 지속 모니터링",관계관리,신규확인필요
단양 보건의료원 PENKO SURGI PAD 제품설명,2026/08/20,신규 병원,세종충북,단양 보건소 (https://app.notion.com/p/3b5fd9fcb8cd81b6b028c934f244aff2?pvs=21),진료지원과,이재덕,영업시도,PENKO SURGI PAD (https://app.notion.com/p/PENKO-SURGI-PAD-3b2fd9fcb8cd81bd88afd489c62ac823?pvs=21),"단양 보건의료원 진료지원과에 펜코 카탈로그를 전달하고 제품 디테일링을 진행하였으며, 영춘의원 장비 지원사업에 대해 안내했습니다. 수금은 즉시 처리 예정이나, 타 지역 구매 제한으로 인해 팀장과 상의 후 구매 품목을 검토하겠다고 했습니다.
다음: 구매 검토 결과 확인 및 수금 진행",제품설명·소개,신규확인필요
제천 서울병원 스타픽스 제품설명,2026/08/20,기존 병원,세종충북,제천 서울병원 (https://app.notion.com/p/3b5fd9fcb8cd81c2b3c4d97b0a2be4b0?pvs=21),고영선 과장,이재덕,영업시도,,제천 서울병원 OS 고영선 과장에게 스타픽스 제품을 소개하였으나 특별한 반응은 없었습니다.,제품설명·소개,신규확인필요
제천명지병원 ANGIO 시술용 키트 PR03 (Adv.) 제품설명,2026/08/20,기존 병원,세종충북,제천명지병원 (https://app.notion.com/p/3b5fd9fcb8cd811f81d5cccde2960431?pvs=21),,이재덕,영업시도,ANGIO 시술용 키트 PR03 (Adv.) (https://app.notion.com/p/ANGIO-PR03-Adv-3b2fd9fcb8cd816d9e80c13351bf5a01?pvs=21),"제천명지병원 심혈관센터에 ANGIO 시술용 키트 PR03 (Adv.) 브로셔를 전달하고 소개했습니다. 담당 매니저가 타사 제품 샘플과 세미나 준비 소식을 전하며, 필요 시 연락하겠다고 답했습니다.
다음: 타사 세미나 진행 및 제품 사용 동향을 파악하며 추후 연락 대기 후 재접촉 추진.",제품설명·소개,완료
